Grupo economico;Mensagem enviada? ;Cluster 2024;Vendas SLM 2023;Vendas SLM 24;Meta 2024;Gap;% Atingimento Meta;Vendas Plano 5K;Usa CRM ?;Total de Leads 90 dias;Habilitação Voucher;INADIMPLÊNCIA FDMP;INADIMPLÊNCIA ROY;Turmas usando Portifólio com familia;Número de Planejamentos;Meta formalizada?;Direito a voucher?;Motivo ;OBS ATIVO ;Observações;Quantidade de vouchers;Código do voucher ;Voucher enviado ;De acordo?;Atualizado CRM? ;Kit de Rematrícula;Observação Kit 
MAPLE BEAR CAMPO GRANDE/ JD SÃO BENTO / CHACARA CACHOEIRA;;Potente;285;365;309;-51;116,33%;12;NÃO USA CRM;139;5%;;;2;;;Sim ;;;;18;MBMS2025139;Sim ;N/A;Sim;;
MAPLE BEAR TAUBATÉ - JARDIM DAS NAÇÕES;;Desenvolvimento;346;369;372;3;99,08%;6;USA CRM;213;5%;;;45;;;Sim ;;;;18;MBSP2025131;Sim ;N/A;Sim;;
MAPLE BEAR SÃO PAULO - VILA NOVA CONCEIÇÃO;ok ;Potente;386;355;491;136;72,25%;2;NÃO USA CRM;135;3%;;;;51;157;Sim;Portifólio;Se alinhado Toddle, liberar 5%;LIBERAR VOUCHERS A 5% FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE (PROBLEMAS COM A FORMALIZAÇÃO DE META DO GRUPO ECONOMICO);18;MBSP2025194;Sim;;;;
MAPLE BEAR SÃO PAULO - CANTAREIRA;ok;Alta Performance;286;345;296;-49;116,50%;4;NÃO USA CRM;143;5%;;;;33;;Sim;Portifólio;Havia uma pendência financeira que foi regularizada. ;LIBERADOS OS VOUCHERS SEM COMPROMISSO DE UTILIZAÇÃO DA TODDLE;17;MBSP2025138;Sim;N/A;Sim;;
MAPLE BEAR PIRACICABA - VILA REZENDE;ok;Potente;323;346;352;8;97,86%;9;NÃO USA CRM;102;5%;;;;31;;Não ;Portifólio;;LIBERAR VOUCHERS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;17;MBSP2025133;;;;;
MAPLE BEAR RIO DE JANEIRO - BOTAFOGO;ok ;Desenvolvimento;338;346;373;27;92,84%;3;USA CRM;174;5%;;;;13;;Sim;Portifólio;Maria Isabel pediu para falar com Pamela. Pamela já ciente das informações. Está verificano com o time pedagógico qual a data de expectativa para a implantação do portifólio. Pamela retornou com a expectativa no dia 2/10;VOUCHERS LIBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;17;MBRJ2025240;Sim;;;;
MAPLE BEAR CACHOEIRO DO ITAPEMIRIM - SÃO GERALDO;;Desenvolvimento;371;345;432;87;79,82%;2;NÃO USA CRM;45;3%;;;2;;404;Sim;;Libera 5%/ 19/08/2024 - Acordo feito para pagamento das parcelas em aberto em 3x, sendo o primeiro pagamento em 25/08 - OBRSERVAÇÃO DO CRM;GERAR VOUCHERS A 5% POIS APÓS ANALISE DO TIME FINANCEIRO, ESSA ESCOLA NÃO É OFENSORA EM INADIMPLENCIA. SERÃO GERADOS VOUCHERS A 5%, POIS A DIANTE DA META FORMALIZADA PARA A ESCOLA, O % DE ATINGIDO FOI 85% (REALIZADO ACORDO);17;MBES2025127;Sim ;N/A;Sim ;;
MAPLE BEAR VILA VELHA - PRAIA DA COSTA;Sem numero ;Alta Performance;272;320;305;-15;105,04%;2;NÃO USA CRM;174;5%;;;24;;;Sim;FDMP;Pendências finaneiras de 2023 foram perdoadas, e pendências financeiraas de 2024 feito acordo.;VOUCHERS LIBERADOS APÓS ACERTOS FINANCEIROS;16;MBES2025142;;;;;
MAPLE BEAR RIO DE JANEIRO - FREGUESIA;ok;Potente;290;319;313;-6;101,91%;5;USA CRM;131;5%;;;;8;;Não ;Portifólio;;LIBERAR VOUCHERS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;16;MBRJ2025137;;;;;
MAPLE BEAR MARÍLIA - PARQUE DAS ESMERALDAS;;Desenvolvimento;319;329;359;30;91,71%;8;USA CRM;96;5%;NÃO;NÃO;2;16;;Sim;Roy;;GERAR VOUCHERS A 5% POIS APÓS ANALISE DO TIME FINANCEIRO, ACORDO PARA PAGAMENTO DE ROY FIRMADO;16;MBSP2025134;Sim;N/A;Sim;;
