"Modelo","ID do modelo","Tipo de documento","Titular","Usadas","Publicado","Compartilhados"
"Feed - Cantata de Natal","EAGryd-jTkE","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Post Instagram - 1080x1080px","EAGrycyxrjY","Post para Instagram","Maple Bear | Comunicação",0,0,0
"Ficha de Organograma.docx","EAGrycwkr-w","Doc","Maple Bear | Comunicação",0,0,0
"14 - Dia Internacional da Amizade - REELS","EAGrycvr4aI","Vídeo para dispositivos móveis","Maple Bear | Comunicação",0,0,0
"Integral (1).pdf","EAGrycvSDGE","Catálogo","Maple Bear | Comunicação",0,0,0
"Posts Fotos - 1080 x 1350","EAGrycv5BNs","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Halloween Solidário - Feed - Carrossel","EAGrycrCblE",,"Maple Bear | Comunicação",0,0,0
"Moldura Stories - 1080 x 1920 px","EAGrycqhhxM",,"Maple Bear | Comunicação",0,0,0
"STORY_Arraial_Maple_Bear_Edit","EAGrycnb7DQ","Story","Maple Bear | Comunicação",0,0,0
"Maple Bear Highlights - Reels/Story","EAGrycmnF3Y","Story","Maple Bear | Comunicação",0,0,0
"Science - Lifecycle Of Turtle - A4","EAGryclngH0",,"Maple Bear | Comunicação",0,0,0
"Cópia de LIW 2025 - Modelo PPT","EAGrycfbWhI","Apresentação","Maple Bear | Comunicação",0,0,0
"Summer Camp 25 - Stories","EAGrycfRihs","Story","Maple Bear | Comunicação",0,0,0
"Maple Bear Maceió: Comitê de Pais e Mães ","EAGryccQG1c",,"Maple Bear | Comunicação",0,0,0
"Step Up - Save The Date","EAGrycauV7c","1080 x 1350 px","Maple Bear | Comunicação",0,4,1
"Carrossel_01 - STORY","EAGrycYx2Hw","Story","Maple Bear | Comunicação",0,0,0
"POLÍTICA DE COMPRA, CANCELAMENTO, REEMBOLSO E PRIVACIDADE - COOKIES.pdf","EAGrycYr1Z4","Gráfico de mandala – 210 x 297 mm","Maple Bear | Comunicação",0,0,0
"22 - Dia do Descobrimento do Brasil","EAGrycYICCI","Post para Instagram (4:5)","Maple Bear | Comunicação",0,0,0
"Feed - Estáticas","EAGrycXyY9E",,"Maple Bear | Comunicação",0,0,0
"Referenciais-Curriculares-para-elaboracao-dos-Itinerarios-Formativos_Canva.pdf","EAGrycR_bEo","Chave de torneio","Maple Bear | Comunicação",0,0,0
"Orientações - Ativo Imobilizado.pdf","EAGrycRFj9o","Catálogo","Maple Bear | Comunicação",0,0,0
"[Maple Bear Porto Velho] FLIP.pdf","EAGrycQlh0k",,"Maple Bear | Comunicação",0,0,0
"10x8cm_MB_Cartão_Páscoa","EAGrycQNJEI",,"Maple Bear | Comunicação",0,0,0
"Depoimento - Julia ","EAGrycPh1Vw","Vídeo para dispositivos móveis","Maple Bear | Comunicação",0,0,0
"Modelo excluído","EAGrycNu1iY",,,,,
"Instagram - Stories Carrossel 04","EAGrycNOnMc","Story","Maple Bear | Comunicação",0,0,0
"CJ ","EAGrycKqksA",,"Maple Bear | Comunicação",0,0,0
"Instagram - Stories 05","EAGrycJ1VCA","Story","Maple Bear | Comunicação",0,0,0
"Fundos para Reunião","EAGrycHfBiQ",,"Maple Bear | Comunicação",0,0,0
"Instagram - Stories Carrossel 01","EAGrycHbLnM","Story","Maple Bear | Comunicação",0,0,0
"Halloween Solidário - Cartela Estações - A5","EAGrycHOTUA",,"Maple Bear | Comunicação",0,0,0
"Cópia de Manual de Produção Newsletter","EAGrycEG95A","Apresentação","Maple Bear | Comunicação",0,0,0
"Feed - Estáticas","EAGrycDiMl0",,"Maple Bear | Comunicação",0,0,0
"Maple Bear Alphaville - Play Based Learning ","EAGryc9lPBE",,"Maple Bear | Comunicação",0,0,0
"Páscoa","EAGryc9FzMY","Post para Instagram (4:5)","Maple Bear | Comunicação",0,0,0
"Instagram - Stories 05","EAGryc6l-nw","Story","Maple Bear | Comunicação",0,0,0
"Régua de Follow Up - 1080 x 1350","EAGryc5Gh1M","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Math - Patterns And Graph - A4","EAGryc4IbVY",,"Maple Bear | Comunicação",0,0,0
"Informações para análise Financeira.pdf","EAGryc1Kyoo","Catálogo","Maple Bear | Comunicação",0,0,0
"Caminhada das Famílias Maple Bear","EAGryc1HsGg","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"03- MARÇO","EAGryc0sYF0","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Modelo excluído","EAGryc-0sac",,,,,
"Comunicação Período de Recesso - 2025","EAGryby3B64","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Encontro de Líderes - Outubro","EAGrybxkYr0","Apresentação","Maple Bear | Comunicação",0,0,0
"Modelo excluído","EAGrybxFppE",,,,,
"Livreto Brinde - 10 x 10cm","EAGrybsNyig",,"Maple Bear | Comunicação",0,0,0
"Banner Maior - 120 x 180cm","EAGrybrnzN4",,"Maple Bear | Comunicação",0,0,0
"Modelo PPT - Simpósio 2025","EAGrybrDHwo","Apresentação","Maple Bear | Comunicação",0,0,0
"02. Fevereiro - Stories","EAGrybp3Z0s","Story","Maple Bear | Comunicação",0,0,0
"Saídas Pedagógicas.docx","EAGrybofv8A","Doc","Maple Bear | Comunicação",0,0,0
"Instagram Post - 1080 x 1350px","EAGryboaBlI",,"Maple Bear | Comunicação",0,0,0
"STORY_MB_Cantata_de_Natal","EAGryboM9AI","Story","Maple Bear | Comunicação",0,0,0
"Régua de Follow Up","EAGrybo2aLQ",,"Maple Bear | Comunicação",0,0,0
"Matrícula e Rematrícula - Feed","EAGrybmkoNk",,"Maple Bear | Comunicação",0,0,0
"Science - Sea Animals And The Ocean - A3","EAGrybmVpRI","Cartaz (A3 retrato)","Maple Bear | Comunicação",0,0,0
"Informações para análise Financeira (1) (2).pdf","EAGrybmIW-8","Catálogo","Maple Bear | Comunicação",0,0,0
"Banner Menor - 80 x 120cm","EAGryblNi64",,"Maple Bear | Comunicação",0,0,0
"Guia_FTP_2021_VF4_MEC_Canva.pdf","EAGrybkrcfg","Chave de torneio","Maple Bear | Comunicação",0,0,0
"BYLAWS PAC 2025.pdf","EAGrybddjxY","A4","Maple Bear | Comunicação",0,0,0
"5KM","EAGrybbt7T4","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Instagram - Post Carrossel 01","EAGrybb39gk","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"14 - Dia Internacional da Amizade - STORY","EAGrybVTNyA","Story","Maple Bear | Comunicação",0,0,0
"POLÍTICA DE TRANSFERÊNCIA ENTRE ESCOLAS MAPLE BEAR - primeira versão.docx","EAGrybUoSTc","Doc","Maple Bear | Comunicação",0,0,0
