"Modelo","ID do modelo","Tipo de documento","Titular","Usadas","Publicado","Compartilhados"
"Magazine Ad - 419mm x 285mm - 2024","EAGryWVYTrE",,"Maple Bear | Comunicação",0,0,0
"ALI - Save The Date","EAGryWThrH0","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"CJ Students - Feed","EAGryWO983I","Post para Instagram","Maple Bear | Comunicação",0,0,0
"Global Connections -  the Power of the Maple Bear Community","EAGryWNAsso",,"Maple Bear | Comunicação",0,0,0
"Onboarding Marketing Maple Bear ","EAGryWKydKA","Apresentação","Maple Bear | Comunicação",0,0,0
"Performance - Junho","EAGryWJqVwM","Story","Maple Bear | Comunicação",0,0,0
"Performance - Estáticas","EAGryWGmylI","Anúncio para feed","Maple Bear | Comunicação",0,2,0
"Cópia de MAPLE BEAR SUMMER CAMP 2024 (1).pptx","EAGryWG-Aok","Apresentação","Maple Bear | Comunicação",0,0,0
"12 - DEZEMBRO FEED","EAGryWFbi1E","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Agenda Escolar 2024","EAGryW8H86g",,"Maple Bear | Comunicação",0,0,0
"Unique Aspects of the New Brunswick Program","EAGryW7yhBk",,"Maple Bear | Comunicação",0,0,0
"Depoimento -  Marina","EAGryW6nkP4","Vídeo para dispositivos móveis","Maple Bear | Comunicação",0,0,0
"Feed - Estáticas","EAGryW4_FJ8",,"Maple Bear | Comunicação",0,0,0
"7- JULHO","EAGryW4OR5w","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Halloween Solidário - Feed - Carrossel Atividades","EAGryW3JaFA",,"Maple Bear | Comunicação",0,0,0
"6- JUNHO","EAGryW1229c","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"TFR 2024 - Camiseta 02 - Mangas","EAGryW0iR4U",,"Maple Bear | Comunicação",0,0,0
"Save the Date","EAGryW0AS0o",,"Maple Bear | Comunicação",0,0,0
"Halloween Solidário - Moldura Feed","EAGryVvkX1U","Post para Instagram","Maple Bear | Comunicação",0,0,0
"Halloween Solidário - Emojis - A4","EAGryVv_18c","Cartão de simanim para Rosh Hashaná","Maple Bear | Comunicação",0,0,0
"MB Bauru - Encerramento da unidade  “Como se fosse gente”","EAGryVuXp1M","Post para Instagram (4:5)","Maple Bear | Comunicação",0,0,0
"Crachá - 105 x 148mm","EAGryVuVJ_w",,"Maple Bear | Comunicação",0,0,0
"Stories - Carrossel 1","EAGryVto3Ms","Story","Maple Bear | Comunicação",0,0,0
"01 - JANEIRO","EAGryVtdqs8",,"Maple Bear | Comunicação",0,11,0
"Performance - Junho","EAGryVslNAA","Story","Maple Bear | Comunicação",0,0,0
"Livreto ELE - Com Livro Recomendado - A5","EAGryVqlYQ4","A5","Maple Bear | Comunicação",0,1,0
"Cópia de Layout Apresentação - 1920 x 1080 px","EAGryVomz28","Apresentação","Maple Bear | Comunicação",0,13,0
"TFR 2024 - Camiseta 01 - Frente","EAGryVny8GE","Cartaz A3 frente e verso (retrato)","Maple Bear | Comunicação",0,0,0
"Maple Bear Porto Velho - Caminhos para o sucesso: Impulsionando as aprovações no Brasil e no Exterior ","EAGryVnwqS0",,"Maple Bear | Comunicação",0,0,0
"10 - OUTUBRO","EAGryVnlryI","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"A4_Arraial_Maple_Bear","EAGryVm3J8E","A4","Maple Bear | Comunicação",0,0,0
"Banner Maior - 120 x 180cm","EAGryVloBRU",,"Maple Bear | Comunicação",0,0,0
"Posts - 1080 x 1350","EAGryVjqVvc","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Halloween Solidário - Feed - KV","EAGryVjDBog",,"Maple Bear | Comunicação",0,0,0
"STORY_MB_Formatura_SK","EAGryVhnrk0","Story","Maple Bear | Comunicação",0,14,0
"Feed - Carrossel 2","EAGryVhiFuo","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Livreto Brinde - 10 x 10cm","EAGryVgw7iA",,"Maple Bear | Comunicação",0,0,0
"Ligue os Pontos - 1080x1350px","EAGryVejg2k","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"02 - Dia Mundial de ","EAGryVeHsnc","Post para Instagram (4:5)","Maple Bear | Comunicação",0,0,0
"Régua de Aquecimento - 1080 x 1080px","EAGryVdWPGE",,"Maple Bear | Comunicação",0,0,0
"Credenciais MB na Aplicação Local - Sul","EAGryVdL6Q8",,"Maple Bear | Comunicação",0,0,0
"CAPA - Depoimento da Julia ","EAGryVbJD3Q","Story","Maple Bear | Comunicação",0,0,0
"Régua de Follow Up - 1080 x 1080px","EAGryV_V08Y",,"Maple Bear | Comunicação",0,0,0
"08 - Dia Internacional das Mulheres - FEED","EAGryVYpumk","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"TFR 2024 - Feed Instagram e Whatsapp","EAGryVXQxEE",,"Maple Bear | Comunicação",0,0,0
"Cards - Scavenger Hunt - A6","EAGryVWCwvg",,"Maple Bear | Comunicação",0,0,0
"Banner Menor - 80 x 120cm","EAGryVV0Ch8",,"Maple Bear | Comunicação",0,0,0
"O Poder de Conversão de uma Sala Modelo Eficiente","EAGryVTT29s",,"Maple Bear | Comunicação",0,0,0
"Instagram - Post Carrossel 03","EAGryVTHuLs","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Guia Portaria MB.pdf","EAGryVSdoRk","Livreto (pequeno)","Maple Bear | Comunicação",0,14,0
"Peças_Estáticas - FEED","EAGryVSWRZ4",,"Maple Bear | Comunicação",0,0,0
"Cartas de Desafio - A3 - Frente e Verso","EAGryVRUyaU","Cartaz A3 frente e verso (retrato)","Maple Bear | Comunicação",0,0,0
"01 - Carnaval - FEED","EAGryVNBG4A","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"12 - DEZEMBRO","EAGryVMyyVM",,"Maple Bear | Comunicação",0,0,0
"21 - Dia mundial da criatividade!","EAGryVM5ViY","Post para Instagram (4:5)","Maple Bear | Comunicação",0,0,0
"Instagram - Welcome 2025","EAGryVLaLNg","1080 x 1350 px","Maple Bear | Comunicação",0,2,0
"Apresentação André Quintela - Encontro Março 2024 (2).pptx","EAGryVIwZkw","Apresentação","Maple Bear | Comunicação",0,0,0
"A importância de uma pesquisa de satisfação de início de ano letivo.docx","EAGryVIfOo4","Doc","Maple Bear | Comunicação",0,0,0
"5- MAIO","EAGryVCOlI0","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Encontro 25 de Março - Story","EAGryVC9lLE","Story","Maple Bear | Comunicação",0,0,0
